EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'7350120791368,86.89,B0BFJKYLKX,"#50.663, (Kosmetik)",19.09 ,"13,74 %"
'7350092139113,154.0,B07QB6BD9R,"#35.162, (Kosmetik)",31.34 ,"13,11 %"
'7350120791283,198.32,B0BGLNQKBM,"#187.042, (Kosmetik)",21.69 ,"7,77 %"
'607710006294,20.6,B0BGHZ6BK4,"#171.432, (Kosmetik)",12.09 ,"25,19 %"
'607710006317,19.79,B09VPWWN5X,-,19.64 ,"33,89 %"
'773602307302,21.49,B07YB99QFP,"#23.949, (Kosmetik)",21.07 ,"33,93 %"
'773602164165,18.46,B003VIWE9S,-,11.10 ,"25,81 %"
'716170229324,48.76,B0BTWBPV9H,-,10.80 ,"13,34 %"
'716170229362,48.76,B0CCPF6JMQ,-,10.80 ,"13,34 %"
'773602010837,17.78,B00C4VK6TI,"#581.373, (Kosmetik)",11.40 ,"26,76 %"
'607710089877,45.0,B08735P4LP,-,15.10 ,"18,39 %"
'30153226,9.5,B0BVMFZ8R8,-,86.14 ,"57,77 %"
'736150161970,36.5,B079QS9XC1,"#136.577, (Kosmetik)",14.57 ,"20,82 %"
'30159877,9.99,B019NC74C2,-,162.16 ,"67,28 %"
'716170064758,51.7,B00JRROV0C,-,42.16 ,"32,43 %"
'773602001682,17.8,B0075N8L7Y,-,25.45 ,"40,40 %"
'800897829995,4.06,B019NH8VCY,-,12.80 ,"45,80 %"
'4009839493546,104.97,B093ZW6PZ1,"#65.972, (Kosmetik)",17.46 ,"11,05 %"
'094800337848,20.0,B007ZUGLZQ,-,33.83 ,"43,48 %"
'887167615434,19.92,B0BXN59N2K,"#123.665, (Kosmetik)",10.52 ,"23,94 %"
'887167615342,19.92,B0BXN4PVHN,"#123.665, (Kosmetik)",10.52 ,"23,94 %"
'30147461,10.83,B0BKK72YWY,-,23.56 ,"44,25 %"
'800897191825,7.99,B07S8ZMVNH,-,26.11 ,"50,20 %"
'30147966,10.8,B07DP91GXX,-,655.70 ,"67,36 %"
'773602429905,25.49,B074WKQ5NY,"#54.607, (Kosmetik)",19.47 ,"29,86 %"
'819430011391,69.9,B006FJG69E,"#345.912, (Kosmetik)",37.71 ,"25,83 %"
'3614271636478,19.9,B0754P4XQD,"#385.317, (Kosmetik)",10.22 ,"23,51 %"
'607710089624,25.45,B08MWRRPZ5,-,31.46 ,"38,73 %"
'800897190637,8.79,B07SB2J2R1,-,25.42 ,"48,89 %"
'850012741251,30.79,B07ZQQ4SVL,-,79.35 ,"50,27 %"
