Product Title,Price,EAN,URL
"SAMSUNG RL38T600DB1 Kühlgefrierkombination (D, 211 kWh, 2030 mm hoch, Premium Black Steel)",599.99,'8806090563744,https://www.mediamarkt.de/de/product/_samsung-rl38t600db1-2684807.html
"BOSCH HBD 80 PY 50 PYROLYSE, Einbaubackofenset (Induktionskochfeld, A+, 71 Liter)",1197,'4242002995649,https://www.mediamarkt.de/de/product/_bosch-hbd80py50-2209021.html
"MIELE G 5430 SC SL Active Geschirrspüler (freistehend, 448 mm breit, 45 dB (A), F)",649.99,'4002516296287,https://www.mediamarkt.de/de/product/_miele-g-5430-sc-sl-active-2681707.html
"AEG KOMBI 3025 P Serie 6000 mit SurroundCook Ringheißluftsystem (mit Pyrolyse), Einbauherdset (Glaskeramikkochfeld, A+, 72 Liter)",799.99,'7332543917143,https://www.mediamarkt.de/de/product/_aeg-kombi-3025-p-2571966.html
"AEG BCO99821V2, Backofen (Einbaugerät, 70 Liter, 595 mm breit), Serie 9000 mit SteamPro Wifi-Multi-Dampfgarer (mit Sous-vide-Garen), Dampfgarfunktion",1449,'7332543926848,https://www.mediamarkt.de/de/product/_aeg-bco-99821-v-2-2773204.html
"MIELE WCR890 WPS D LW PWash 2.0 & TDos XL & WiFi & Steam W1 Chrome Edition Waschmaschine (9 kg, 1600 U/Min., A)",1888,'4002516024309,https://www.mediamarkt.de/de/product/_miele-wcr890-wps-d-lw-pwash-2-0-tdos-xl-wifi-steam-2466542.html
"MIELE G 5210 SC Active Plus Geschirrspüler (freistehend, 598 mm breit, 45 dB (A), C)",777,'4002516296133,https://www.mediamarkt.de/de/product/_miele-g-5210-sc-active-plus-2647828.html
"MIELE KM 7678 FR Induktionskochfeld (806 mm breit, Vollflächig mit Topferkennung für max. 6 Kochgeschirre Kochfelder)",1777,'4002516149040,https://www.mediamarkt.de/de/product/_miele-km-7678-fr-2537378.html
"MIELE G 7410 SCi AutoDos Geschirrspüler (teilintegrierbar, 598 mm breit, 42 dB (A), A)",1299,'4002516480181,https://www.mediamarkt.de/de/product/_miele-g-7410-sci-d-ed230-19-clst-autodos-geschirrspuler-teilintegrierbar-598-mm-breit-42-db-a-a-2755944.html
"SIEMENS BF634LGS1, Mikrowelle (900 Watt)",469.99,'4242003676400,https://www.mediamarkt.de/de/product/_siemens-bf634lgs1-1892309.html
"OK. ODW 4531 E BI Geschirrspüler (teilintegrierbar, 450 mm breit, 49 dB (A), E)",329,'4049011163645,https://www.mediamarkt.de/de/product/_ok-odw-4531-e-bi-2667069.html
"BEKO DIT2643 M0 XL Einbaugeschirrspüler (vollintegrierbar, 598 mm breit, 48 dB (A), D)",369,'8690842444890,https://www.mediamarkt.de/de/product/_beko-dit-2643-m0-2727992.html
"LEGO 42115 Lamborghini Sián FKP 37 Bausatz, Mehrfarbig",319.99,'5702016617535,https://www.mediamarkt.de/de/product/_lego-42115-lamborghini-sián-fkp-37-2640670.html
BIG 800056733 Sandy Sandkasten+Abdeckung Grün,105.99,'4004943567336,https://www.mediamarkt.de/de/product/_big-800056733-2005180.html
"LEGO 75574 Avatar Toruk Makto und der Baum der Seelen  Bausatz, Mehrfarbig",114.99,'5702016913798,https://www.mediamarkt.de/de/product/_lego-75574-avatar-toruk-makto-und-der-baum-der-seelen-bausatz-mehrfarbig-2784049.html
"LEGO 30585 FEUERWEHR-FAHRZEUG Bausatz, Mehrfarbig",3.99,'5702017160979,https://www.mediamarkt.de/de/product/_lego-30585-feuerwehr-fahrzeug-bausatz-mehrfarbig-2772531.html
"LEGO Super Mario 71407 Katzen-Peach-Anzug und Eisturm – Erweiterungsset Bausatz, Mehrfarbig",37.99,'5702017155272,https://www.mediamarkt.de/de/product/_lego-super-mario-71407-katzen-peach-anzug-und-eisturm-erweiterungsset-bausatz-mehrfarbig-2784085.html
"LEGO Super Mario 71403 Abenteuer mit Peach – Starterset Bausatz, Mehrfarbig",34.99,'5702017155234,https://www.mediamarkt.de/de/product/_lego-super-mario-71403-abenteuer-mit-peach-starterset-bausatz-mehrfarbig-2784101.html
"LEGO 30510 90 JAHRE AUTOS Bausatz, Mehrfarbig",3.99,'5702017257648,https://www.mediamarkt.de/de/product/_lego-30510-90-jahre-autos-bausatz-mehrfarbig-2772538.html
"GIGASET COMFORT 550HX DECT-Mobilteil, Black-Chrome",45.99,'4250366865829,https://www.mediamarkt.de/de/product/_gigaset-comfort-550hx-dect-mobilteil-black-chrome-2797193.html
"HAMA Rotate USB-Stick, 128 GB, 15 MB/s, Schwarz/Silber",6.49,'4047443196149,https://www.mediamarkt.de/de/product/_hama-rotate-1701591.html
"RAPOO 1620 Schnurlose optische Funkmaus, Schwarz",6.99,'6943518914640,https://www.mediamarkt.de/de/product/_rapoo-1620-schnurlose-optische-1484157.html
BIG AquaPlay AdventureLand Spielset Blau,49.99,'7313400015479,https://www.mediamarkt.de/de/product/_big-aquaplay-adventureland-spielset-blau-2748342.html
LOGITECH Brio 500 Full HD Webcam,89.99,'5099206104914,https://www.mediamarkt.de/de/product/_logitech-brio-500-full-hd-webcam-2830536.html
THRUSTMASTER Rennlenkrad T128 für PS5™/PS4™ und PC,129.99,'3362934111564,https://www.mediamarkt.de/de/product/_thrustmaster-rennlenkrad-thrustmaster-t128-fur-ps5tmps4tm-und-pc-2825084.html
"JABRA Elite 4 Active, mit anpassbarem ANC, In-ear Kopfhörer Bluetooth Schwarz",89.99,'5707055055089,https://www.mediamarkt.de/de/product/_jabra-elite-4-active-in-ear-kopfhorer-bluetooth-schwarz-2779063.html
"SAMSUNG SM-R180 Galaxy Buds Live, In-ear Kopfhörer Bluetooth Bronze",79,'8806090527968,https://www.mediamarkt.de/de/product/_samsung-sm-r180-galaxy-buds-live-2670095.html
LOGITECH Slim Folio für iPad (10. Generation) Tastaturhülle Grafit,79.99,'5099206107427,https://www.mediamarkt.de/de/product/_logitech-ipad-10-generation-tastatur-case-grafit-2844704.html
"GIGASET Gigaset E290 HX DECT-Mobilteil für Router mit DECT-/Cat-iq-Basisstation, Schwarz",29.99,'4250366856087,https://www.mediamarkt.de/de/product/_gigaset-gigaset-e290-hx-2560103.html
"SAMSUNG HW-Q610B/ZG, Soundbar, Schwarz",299,'8806094191004,https://www.mediamarkt.de/de/product/_samsung-hw-q610bzg-soundbar-schwarz-2793465.html
"SONY SRS-XB13 Bluetooth Lautsprecher, Schwarz, Wasserfest",49.99,'4548736122239,https://www.mediamarkt.de/de/product/_sony-srs-xb13-2724985.html
CANON 97005617 YELLOW LABEL STANDARD A4 80 GR 500 BLATT 210x297 mm 500 Blatt Din A4 Papier 80g/m²,5.99,'8713878126834,https://www.mediamarkt.de/de/product/_canon-yellow-label-standard-2743647.html
"YAMAHA MusicCast 20 Streaming Lautsprecher App-steuerbar, Bluetooth, Weiß",179.99,'4957812634885,https://www.mediamarkt.de/de/product/_yamaha-musiccast-20-2440681.html
"GOOGLE Pixel Buds A-Series True Wireless, In-ear Kopfhörer Bluetooth Clearly White",66,'0193575009766,https://www.mediamarkt.de/de/product/_google-pixel-buds-a-series-2748315.html
"LOGITECH MX Keys Advanced für PC/Mac, Tastatur, kabellos, Graphite",94.99,'5099206086807,https://www.mediamarkt.de/de/product/_logitech-mx-keys-advanced-2590570.html
Elementary – Season 1 DVD,13.99,'4010884504507,https://www.mediamarkt.de/de/product/_elementary-–-season-1-krimi-dvd-1955153.html
"FISCHER VIATOR ETD 1861 Trekkingrad (Laufradgröße: 28 Zoll, Damen-Rad, 557 Wh, Schwarz matt)",1709,'4008153026119,https://www.mediamarkt.de/de/product/_fischer-viator-etd-1861-damen-trekkingrad-laufradgrosse-28-zoll-unisex-rad-557-wh-schwarz-matt-2754317.html
PHILIPS Smart LED 60W Edisonform Filament Clear (TW) Einzelpack Smart Glübirne 2700-6500 Kelvin,9.99,'8719514372245,https://www.mediamarkt.de/de/product/_philips-smart-led-60w-edisonform-filament-clear-tw-einzelpack-smart-glubirne-e27-2700-6500-kelvin-7-watt-806-2759457.html
HEITRONIC 21414 Mecano T Verbinder,13.99,'4002940214147,https://www.mediamarkt.de/de/product/_heitronic-21414-mecano-2106949.html
Frasier – Season 10 DVD,13.99,'4010884507867,https://www.mediamarkt.de/de/product/_frasier-–-season-10-komödie-dvd-2044599.html
Die Verführten Blu-ray,8.99,'5053083123703,https://www.mediamarkt.de/de/product/_die-verführten-drama-blu-ray-2301556.html
Freche Mädchen 2 DVD,8.99,'4011976877486,https://www.mediamarkt.de/de/product/_freche-mädchen-2-komödie-dvd-1351615.html
EUReKa - Staffel 1 DVD,14.99,'5050582902884,https://www.mediamarkt.de/de/product/_eureka-staffel-1-science-fiction-dvd-1542742.html
EUReKa - Staffel 3 DVD,13.99,'5050582902907,https://www.mediamarkt.de/de/product/_eureka-staffel-3-science-fiction-dvd-1542748.html
Covert Affairs - Staffel 4 DVD,13.99,'5053083091736,https://www.mediamarkt.de/de/product/_covert-affairs-staffel-4-krimi-dvd-2182892.html
Die Schöne und das Biest - Staffel 3 DVD,18.99,'4010884503579,https://www.mediamarkt.de/de/product/_die-schöne-und-das-biest-staffel-3-fantasy-dvd-1988384.html
The Code - Staffel 1 DVD,13.99,'5053083051853,https://www.mediamarkt.de/de/product/_the-code-staffel-1-drama-dvd-2020044.html
